Benefit per order,Sales per customer,Latitude,Longitude,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Product Price,Product Status,is_holiday_window,is_weekend_order,Shipping_mode_risk,customer_total_orders,customer_late_rate,customer_avg_delay_gap,Price Tier,Market_encoded,Order Region_encoded,Customer Segment_encoded,Department Name_encoded,Shipping Mode_encoded,Type_encoded,Order Status_encoded
0.023308836,-0.015219942,0.23211554,-0.028423795,-0.033665344,-0.005022307,-0.0005712748,0.0003620803,0.0015722475,-0.0004108515,-0.0062091453,-0.0026585476,0.0011245027,0.0,0.0005994223,-0.008985947,-0.6604817,0.0025704415,-0.3748891,-0.058421604,0.0,0.010725309,-0.025926093,-0.0021348316,-0.0010495834,-0.13764739,0.0034393754,0.077751085
0.018609058,-0.012102347,-0.06707126,6.914046e-05,-0.15052202,-0.02141904,0.052466217,-0.03434067,0.00033522374,-0.006159413,-0.0004428816,-0.013902966,0.0030413668,0.0,0.0013525957,-0.017639901,-0.813489,-0.025976818,-0.8921452,-0.4455409,0.0,-0.03928264,-0.14608781,-0.012058125,-0.006682301,-0.17178458,0.06525043,0.08283018
0.015977975,0.23892371,-0.0026032552,0.0077511617,0.056872528,0.023705546,-0.013929149,0.08211271,0.004882045,-0.19459006,0.044315416,-0.014026469,-0.019578371,0.0,0.006241322,-0.0034322932,-0.8079027,-0.00043436003,-0.8468695,-0.1884911,0.0,-0.047527596,-0.15072326,-0.0077406503,0.014962418,-0.17937647,0.06617545,0.13261387
0.012513506,0.06338664,-0.029330555,-0.010084742,-0.019360086,0.00055751775,-0.006732753,-0.01813169,-0.0011168936,-0.048647255,0.013403805,0.001648535,-0.0019346136,0.0,0.0022688268,0.0013961109,-0.6440157,-0.0040025865,0.013062368,0.0064800247,0.0,0.0060869423,-0.033598125,0.00053956977,-0.0030688094,-0.13594499,0.014367576,0.09369561
0.020022286,-0.0034662457,-0.021902518,-0.0022801629,-0.0328908,0.002928505,-0.004161881,-0.010424595,-0.0054196287,-0.0018799622,-0.012409445,0.012335864,0.00056168454,0.0,0.0022271834,-0.008186112,-0.6449646,-0.0027612122,0.013747842,-0.009367809,0.0,0.0057107564,-0.034341402,-0.0022552996,-0.0028415173,-0.13392821,0.014912314,0.08817079
0.012039042,-0.0025256427,-0.001732344,0.0050633163,-0.0007677536,0.0072380686,-0.0045774304,-0.01381707,-0.005852732,0.012874666,-0.009706712,0.0007095209,0.0006046274,0.0,0.0022774662,-0.005257906,-0.645164,-0.015411931,0.016701177,-0.013758222,0.0,0.006869078,-0.025988905,0.00046085985,-0.0026818719,-0.13414432,0.014794515,0.089318044
-0.0114873545,-0.005171583,-0.01235987,-7.5704214e-05,-0.0134817725,0.00063895487,0.004281658,-0.01758081,0.0017900352,-0.005281052,0.003157141,0.0057698307,0.0012935892,0.0,0.0023993645,-0.0014496517,-0.64454246,-0.014933431,0.01904577,-0.006725741,0.0,0.009464661,-0.026201883,0.00027530646,-0.0003644816,-0.13522522,0.015426905,0.090950504
-0.018553026,0.0045631356,-0.031844515,-0.015768152,-0.027004523,0.005237876,0.03577466,-0.033025037,0.0020994665,-0.004316954,0.0023585067,-0.012765705,0.002083725,0.0,0.0014627521,-0.0019892512,-0.6444931,0.00028342137,0.016280897,-0.0066855745,0.0,0.013936638,-0.022719642,0.00013015018,-0.0034355582,-0.13599993,0.014199619,0.089362845
-0.02051014,0.00023363302,-0.010914412,0.004424786,-0.003270639,0.009104908,0.008571115,0.0018597343,0.0016334996,0.0060203187,-0.011664165,-0.00090662116,0.0008590883,0.0,0.0035387115,0.017639434,-0.5962227,0.004421476,1.2154608,0.16353077,0.0,0.0114929825,0.052334815,-0.003897645,0.00022952684,-0.09772868,-0.005712879,0.13607357
-0.026076468,0.05719285,-0.020578593,0.034228694,0.008320043,0.011993117,0.0051113255,-0.03599261,-0.0065441504,-0.030713942,-0.006832815,-0.0023029437,0.004869244,0.0,0.0030303537,-6.7653134e-05,-0.6016455,0.0019536675,1.1149168,0.13673055,0.0,0.012685024,0.04903668,-0.0020623384,0.0097573735,-0.09718982,-0.008871725,0.14312604
0.009418475,0.045519363,-0.015139305,0.065276176,-0.010458911,0.00604311,-0.0036222013,0.027633516,0.0021044274,-0.0435963,0.005312829,-0.004189106,0.0028485856,0.0,0.0032813288,0.009836281,-0.5998819,0.00071619876,1.1967849,0.15751088,0.0,0.024333343,0.067851804,0.00016237298,0.0010280854,-0.097315736,-0.008553008,0.117552705
0.05673939,0.011689694,-0.008664314,0.05818653,-0.00034718908,0.00062205957,0.006925798,-0.021699807,0.0017862858,0.003087237,-0.0065620765,0.029186975,0.0016180797,0.0,0.0037359777,0.011079879,-0.5984984,0.00257907,1.2241399,0.16168909,0.0,0.011558742,0.052029278,-0.0046013515,0.00027678942,-0.09589667,-0.007034917,0.1512406
